ghostscript 10.04.0-1
giflib 5.2.2-1
girara 0.4.4-1
git 2.47.0-1
git-credential-manager 2.6.0-1
gjs 2:1.82.1-1
glib-networking 1:2.80.0-3
glib2 2.82.2-1
glib2-devel 2.82.2-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 14.3.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-bluetooth-3.0 47.1-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-control-center 47.1.1-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-keybindings 47.1.1-1
gnome-keyring 1:46.2-1
gnome-online-accounts 3.52.1-1
gnome-session 47.0.1-1
gnome-settings-daemon 47.1-1
gnome-shell 1:47.1-1
gnome-text-editor 47.1-1
gnupg 2.4.6-1
gnutls 3.8.8-1
go 2:1.23.2-1
gobject-introspection 1.82.0-1
gobject-introspection-runtime 1.82.0-1
gperftools 2.16-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
granite 1:6.2.0-1
graphene 1.10.8-2
graphite 1:1.3.14-4
greetd 0.10.3-1
greetd-agreety 0.10.3-1
grep 3.11-1
grim 1.4.1-2
grimblast-git r108.1e531dc-1
groff 1.23.0-7
grub 2:2.12-3
grub-btrfs 4.13-2
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-1
gssdp 1.6.3-2
gst-plugin-pipewire 1:1.2.6-1
gst-plugins-bad-libs 1.24.9-1
gst-plugins-base-libs 1.24.9-1
gstreamer 1.24.9-1
gtest 1.15.2-1
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.5-1
gtk2 2.24.33-5
gtk3 1:3.24.43-4
gtk4 1:4.16.5-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gtksourceview4 4.8.4-1
gtksourceview5 5.14.1-1
gtksourceviewmm 1:3.18.0-7
guile 3.0.10-1
gum 0.14.5-1
gupnp 1:1.6.7-1
gupnp-igd 1.6.0-1
guvcview 2.1.0-4
guvcview-common 2.1.0-4
gvfs 1.56.1-1
gzip 1.13-4
harfbuzz 10.0.1-1
harfbuzz-icu 10.0.1-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hplip 1:3.24.4-2
htop 3.3.0-3
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.388-1
hwinfo 23.3-1
hyphen 2.8.8-6
hyprcursor 0.1.10-1
hypridle-git 0.1.2.r16.gcc23f978-1
hypridle-git-debug 0.1.2.r16.gcc23f978-1
hyprland 0.44.1-2
hyprlang-git 0.5.3.r0.gf054f2e4-1
hyprlang-git-debug 0.5.3.r0.gf054f2e4-1
hyprlock-git 0.4.1.r20.geb63207e-1
hyprlock-git-debug 0.4.1.r20.geb63207e-1
hyprpaper 0.7.1-2
hyprpicker-git 0.4.1.r1.4411a6d-1
hyprpicker-git-debug 0.4.1.r1.4411a6d-1
hyprshade 3.2.1-1
hyprshot 1.3.0-1
hyprutils-git 0.2.3.r2.g3f529343-1
hyprutils-git-debug 0.2.3.r2.g3f529343-1
hyprwayland-scanner-git 0.4.2.r1.g500c81a9-1
hyprwayland-scanner-git-debug 0.4.2.r1.g500c81a9-1
i2c-tools 4.4-1
iana-etc 20241016-1
icu 75.1-1
iio-sensor-proxy 3.5-2
ijs 0.35-6
imagemagick 7.1.1.39-1
imath 3.1.12-1
imlib2 1.12.3-2
inetutils 2.5-1
intel-ucode 20241029-1
iproute2 6.11.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
jansson 2.14-4
jasper 4.2.4-2
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.7.1-2
js115 115.17.0-1
js128 128.4.0-1
json-c 0.18-1
json-glib 1.10.0-1
jsoncpp 1.9.6-3
kaccounts-integration 24.08.2-1
kactivitymanagerd 6.2.3-1
karchive 6.7.0-1
kauth 6.7.0-1
kbd 2.6.4-3
kbookmarks 6.7.0-1
kcmutils 6.7.0-1
kcodecs 6.7.0-1
kcolorscheme 6.7.0-1
kcompletion 6.7.0-1
kconfig 6.7.0-1
kconfigwidgets 6.7.0-1
kcoreaddons 6.7.0-1
kcrash 6.7.0-1
kdbusaddons 6.7.0-1
kde-cli-tools 6.2.3-1
kdeclarative 6.7.0-1
kdecoration 6.2.3-1
kded 6.7.0-1
kdesu 6.7.0-1
kdnssd 6.7.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.7.0-1
kglobalaccel 6.7.0-1
kglobalacceld 6.2.3-1
kguiaddons 6.7.0-2
kholidays 1:6.7.0-1
ki18n 6.7.0-1
kiconthemes 6.7.0-1
kidletime 6.7.0-1
kio 6.7.0-1
kio-extras 24.08.2-1
kio-fuse 5.1.0-3
kirigami 6.7.0-1
kirigami-addons 1.5.0-1
kitemmodels 6.7.0-1
kitemviews 6.7.0-1
kitty 0.37.0-1
kitty-shell-integration 0.37.0-1
kitty-terminfo 0.37.0-1
kjobwidgets 6.7.0-1
kmod 33-3
knewstuff 6.7.0-1
knotifications 6.7.0-1
knotifyconfig 6.7.0-1
kpackage 6.7.0-1
kparts 6.7.0-1
kpipewire 6.2.3-1
kpty 6.7.0-1
kquickcharts 6.7.0-1
krb5 1.21.3-1
krunner 6.7.0-1
kscreenlocker 6.2.3-1
kservice 6.7.0-1
kstatusnotifieritem 6.7.0-1
ksvg 6.7.0-1
ksystemstats 6.2.3-1
ktexteditor 6.7.0-2
ktextwidgets 6.7.0-1
kunitconversion 6.7.0-1
kuserfeedback 6.7.0-1
kwallet 6.7.0-1
kwayland 6.2.3-1
kwidgetsaddons 6.7.0-1
kwin 6.2.3-1
kwindowsystem 6.7.0-1
kxmlgui 6.7.0-1
l-smash 2.14.5-4
lame 3.100-5
layer-shell-qt 6.2.3-1
lazygit 0.44.1-1
lcms2 2.16-1
ldb 2:4.21.1-1
leptonica 1.85.0-2
less 1:661-1
libaccounts-glib 1.27-2
libaccounts-qt 1.17-1
libadwaita 1:1.6.1-1
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-2
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.2.0-1
libblockdev-crypto 3.2.0-1
libblockdev-fs 3.2.0-1
libblockdev-loop 3.2.0-1
libblockdev-mdraid 3.2.0-1
libblockdev-nvme 3.2.0-1
libblockdev-part 3.2.0-1
libblockdev-swap 3.2.0-1
libbluray 1.3.4-2
libbpf 1.4.3-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.8-3
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.71-1
libcap-ng 0.8.5-2
libcdio 2.1.0-4
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libconfig 1.7.3-3
libcue 2.3.0-1
libcups 2:2.4.11-1
libcupsfilters 2.1.0-1
libcurl-gnutls 8.10.1-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdca 0.0.7-2
libde265 1.0.15-2
libdecor 0.2.2-1
